DEPARTAMENTO,PROVINCIA,UBIGEO,SEXO,TIPO_CONTRATO,MATERIAL_PISOS,MATERIAL_TECHOS,MATERIAL_PAREDES,NINOS_ASISTEN_COLEGIO,SITUACION_EDUCATIVA_ESPERADA,SIN_SEGURO,ESTRSOCIAL,POBREZA,ANIO,MES,GASTO_ALIMENTOS_HOGAR,GASTO_ELECTRODOMESTICOS,INGRESO_JUNTOS,INGRESO_PENSION65,HORAS_SEMANA_OCUP_PRINCIPAL,INGRESO_TOTAL,NUM_HABITACIONES,EDAD,SERVICIOS_BASICOS,RECIBIO
AREQUIPA,AREQUIPA,40103,1,Sin contrato,Pisos formales de alto acabado,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,A,No Pobre,2018,12,0.0,225.869666576386,0.0,0.0,10.0,1650.0,5,60,Sí,No
AREQUIPA,AREQUIPA,40103,1,Plazo fijo,Pisos formales de alto acabado,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,A,No Pobre,2018,12,0.0,156.149740219116,0.0,0.0,50.0,8000.0,5,39,Sí,No
AREQUIPA,CAYLLOMA,40505,1,Plazo fijo,Piso precario o sin acondicionar,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,No Pobre,2018,12,0.0,3.03379917144775,1189.0,0.0,48.0,1200.0,2,53,Sí,No
AYACUCHO,PARINACOCHAS,50705,1,Sin contrato,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2018,12,0.0,75.0646734237671,1186.0,0.0,32.0,280.0,5,44,Sí,Sí
CALLAO,CALLAO,70106,0,Sin contrato,Piso precario o sin acondicionar,Materiales semi-formales o industriales ligeros,Materiales mixtos o semi-formales,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,Pobre No Extremo,2018,12,0.0,0.0,0.0,0.0,28.0,1400.0,3,38,Sí,No
CALLAO,CALLAO,70106,1,Sin contrato,Piso precario o sin acondicionar,Materiales semi-formales o industriales ligeros,Materiales mixtos o semi-formales,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,Pobre No Extremo,2018,12,0.0,0.0,0.0,0.0,96.0,1920.0,3,43,Sí,No
CUSCO,CUSCO,80105,0,Plazo fijo,Piso de madera,Materiales estructurales formales,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2018,12,0.0,128.985949516296,0.0,0.0,40.0,2500.0,4,57,Sí,No
CUSCO,URUBAMBA,81304,1,Indefinido,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2018,12,0.0,132.591960906982,0.0,0.0,56.0,2400.0,5,59,Sí,No
CUSCO,URUBAMBA,81304,1,Indefinido,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2018,12,0.0,73.3005285263062,0.0,0.0,56.0,1050.0,1,52,No,No
CUSCO,URUBAMBA,81304,0,Sin contrato,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2018,12,0.0,19.808780670166,0.0,0.0,48.0,1100.0,1,32,No,No
